"id","item","resp","cov_ideology","cov_party_id","cov_age_band","cov_gender"
277,IMM_3,4,1,1,18-29,Male
277,IMM_6,2,1,1,18-29,Male
277,IMM_7,0,1,1,18-29,Male
277,IMM_8,4,1,1,18-29,Male
279,IMM_2,3,1,1,40-49,Male
279,IMM_7,0,1,1,40-49,Male
279,IMM_8,4,1,1,40-49,Male
279,IMM_10,3,1,1,40-49,Male
279,IMM_4,1,1,1,40-49,Male
279,IMM_3,4,1,1,40-49,Male
279,IMM_6,3,1,1,40-49,Male
279,IMM_5,0,1,1,40-49,Male
279,IMM_9,2,1,1,40-49,Male
279,IMM_1,1,1,1,40-49,Male
294,IMM_6,4,1,1,18-29,Female
294,IMM_9,3,1,1,18-29,Female
294,IMM_7,1,1,1,18-29,Female
294,IMM_8,2,1,1,18-29,Female
294,IMM_4,2,1,1,18-29,Female
294,IMM_5,0,1,1,18-29,Female
294,IMM_3,4,1,1,18-29,Female
294,IMM_10,3,1,1,18-29,Female
294,IMM_1,0,1,1,18-29,Female
294,IMM_2,2,1,1,18-29,Female
303,IMM_8,3,1,7,30-39,Male
303,IMM_10,3,1,7,30-39,Male
303,IMM_3,1,1,7,30-39,Male
303,IMM_4,3,1,7,30-39,Male
303,IMM_6,2,1,7,30-39,Male
303,IMM_2,3,1,7,30-39,Male
303,IMM_9,3,1,7,30-39,Male
303,IMM_5,3,1,7,30-39,Male
303,IMM_1,3,1,7,30-39,Male
303,IMM_7,3,1,7,30-39,Male
308,IMM_2,0,1,1,60-69,Female
308,IMM_10,4,1,1,60-69,Female
308,IMM_1,0,1,1,60-69,Female
308,IMM_4,4,1,1,60-69,Female
308,IMM_8,4,1,1,60-69,Female
308,IMM_6,4,1,1,60-69,Female
308,IMM_7,0,1,1,60-69,Female
308,IMM_9,4,1,1,60-69,Female
308,IMM_3,4,1,1,60-69,Female
308,IMM_5,0,1,1,60-69,Female
310,IMM_2,3,1,1,50-59,Female
310,IMM_10,2,1,1,50-59,Female
310,IMM_1,3,1,1,50-59,Female
310,IMM_9,2,1,1,50-59,Female
310,IMM_8,4,1,1,50-59,Female
310,IMM_7,2,1,1,50-59,Female
310,IMM_5,3,1,1,50-59,Female
310,IMM_3,4,1,1,50-59,Female
310,IMM_4,1,1,1,50-59,Female
310,IMM_6,2,1,1,50-59,Female
317,IMM_6,3,1,1,60-69,Female
317,IMM_4,0,1,1,60-69,Female
317,IMM_9,4,1,1,60-69,Female
317,IMM_8,4,1,1,60-69,Female
317,IMM_2,2,1,1,60-69,Female
317,IMM_7,0,1,1,60-69,Female
317,IMM_1,0,1,1,60-69,Female
317,IMM_5,0,1,1,60-69,Female
317,IMM_10,4,1,1,60-69,Female
317,IMM_3,4,1,1,60-69,Female
324,IMM_2,4,1,7,30-39,Male
324,IMM_4,3,1,7,30-39,Male
324,IMM_5,3,1,7,30-39,Male
324,IMM_1,3,1,7,30-39,Male
324,IMM_10,4,1,7,30-39,Male
324,IMM_6,1,1,7,30-39,Male
324,IMM_9,3,1,7,30-39,Male
324,IMM_3,1,1,7,30-39,Male
324,IMM_7,1,1,7,30-39,Male
324,IMM_8,3,1,7,30-39,Male
335,IMM_8,4,1,1,60-69,Female
335,IMM_3,4,1,1,60-69,Female
335,IMM_10,3,1,1,60-69,Female
335,IMM_4,1,1,1,60-69,Female
335,IMM_6,3,1,1,60-69,Female
335,IMM_5,0,1,1,60-69,Female
335,IMM_2,2,1,1,60-69,Female
335,IMM_9,3,1,1,60-69,Female
335,IMM_1,0,1,1,60-69,Female
335,IMM_7,0,1,1,60-69,Female
339,IMM_4,0,1,7,60-69,Female
339,IMM_10,2,1,7,60-69,Female
339,IMM_8,0,1,7,60-69,Female
339,IMM_5,1,1,7,60-69,Female
339,IMM_2,1,1,7,60-69,Female
339,IMM_9,1,1,7,60-69,Female
339,IMM_3,0,1,7,60-69,Female
339,IMM_7,3,1,7,60-69,Female
339,IMM_1,4,1,7,60-69,Female
339,IMM_6,0,1,7,60-69,Female
342,IMM_9,3,1,1,70-79,Female
342,IMM_2,4,1,1,70-79,Female
342,IMM_3,4,1,1,70-79,Female
342,IMM_1,0,1,1,70-79,Female
342,IMM_6,2,1,1,70-79,Female
342,IMM_7,0,1,1,70-79,Female
342,IMM_4,0,1,1,70-79,Female
342,IMM_8,3,1,1,70-79,Female
342,IMM_5,0,1,1,70-79,Female
342,IMM_10,4,1,1,70-79,Female
351,IMM_4,2,1,3,18-29,Female
351,IMM_10,4,1,3,18-29,Female
351,IMM_2,4,1,3,18-29,Female
351,IMM_1,3,1,3,18-29,Female
351,IMM_5,2,1,3,18-29,Female
351,IMM_3,3,1,3,18-29,Female
351,IMM_7,2,1,3,18-29,Female
351,IMM_8,4,1,3,18-29,Female
351,IMM_9,0,1,3,18-29,Female
351,IMM_6,3,1,3,18-29,Female
353,IMM_10,4,1,1,30-39,Female
353,IMM_5,0,1,1,30-39,Female
353,IMM_1,0,1,1,30-39,Female
353,IMM_3,4,1,1,30-39,Female
353,IMM_4,0,1,1,30-39,Female
353,IMM_2,1,1,1,30-39,Female
353,IMM_6,3,1,1,30-39,Female
353,IMM_8,3,1,1,30-39,Female
353,IMM_7,0,1,1,30-39,Female
353,IMM_9,4,1,1,30-39,Female
383,IMM_8,3,1,1,60-69,Female
383,IMM_1,0,1,1,60-69,Female
383,IMM_3,4,1,1,60-69,Female
383,IMM_6,3,1,1,60-69,Female
383,IMM_2,0,1,1,60-69,Female
383,IMM_5,0,1,1,60-69,Female
383,IMM_7,0,1,1,60-69,Female
383,IMM_9,4,1,1,60-69,Female
383,IMM_4,4,1,1,60-69,Female
383,IMM_10,4,1,1,60-69,Female
393,IMM_10,3,1,1,18-29,Female
393,IMM_8,4,1,1,18-29,Female
393,IMM_9,3,1,1,18-29,Female
393,IMM_4,3,1,1,18-29,Female
393,IMM_6,3,1,1,18-29,Female
393,IMM_7,0,1,1,18-29,Female
393,IMM_1,0,1,1,18-29,Female
393,IMM_3,4,1,1,18-29,Female
393,IMM_2,1,1,1,18-29,Female
393,IMM_5,3,1,1,18-29,Female
410,IMM_5,0,1,1,70-79,Female
410,IMM_4,0,1,1,70-79,Female
410,IMM_8,3,1,1,70-79,Female
410,IMM_10,3,1,1,70-79,Female
410,IMM_2,3,1,1,70-79,Female
410,IMM_9,1,1,1,70-79,Female
410,IMM_7,1,1,1,70-79,Female
410,IMM_3,4,1,1,70-79,Female
410,IMM_6,3,1,1,70-79,Female
410,IMM_1,0,1,1,70-79,Female
424,IMM_9,3,1,1,50-59,Female
424,IMM_3,4,1,1,50-59,Female
424,IMM_7,0,1,1,50-59,Female
424,IMM_4,2,1,1,50-59,Female
424,IMM_2,3,1,1,50-59,Female
424,IMM_1,0,1,1,50-59,Female
424,IMM_5,1,1,1,50-59,Female
424,IMM_8,3,1,1,50-59,Female
424,IMM_10,3,1,1,50-59,Female
424,IMM_6,3,1,1,50-59,Female
428,IMM_2,3,1,1,18-29,Male
428,IMM_10,1,1,1,18-29,Male
428,IMM_3,3,1,1,18-29,Male
428,IMM_4,3,1,1,18-29,Male
428,IMM_7,2,1,1,18-29,Male
428,IMM_5,0,1,1,18-29,Male
428,IMM_9,3,1,1,18-29,Male
428,IMM_1,2,1,1,18-29,Male
428,IMM_8,3,1,1,18-29,Male
428,IMM_6,2,1,1,18-29,Male
